revision,layer,group_family,group,n,mean_curvature,mean_entropy,mean_speed,curvature_entropy_pearson
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_020_049,37,2.0890482889639364,6.7265609599448535,8.937128659841177,0.07918969130289577
step512,1,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_050_099,37,2.0938021299001335,6.914285659790039,8.92234552228773,-0.045764744033329294
step512,1,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_006_019,21,2.1014659064156667,6.739824953533354,8.916383788699196,0.2576452180107785
step512,1,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_020_049,9,2.102089908387926,6.035685035917494,9.468446201748318,-0.5382331108411553
step512,1,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_020_049,102,2.087143076401131,5.702203832420648,9.23090144699695,-0.22567165841324868
step512,1,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_050_099,274,2.0942238464842746,5.644337591028561,9.39697319921786,-0.1653437077617544
step512,1,surface_combo,word_start|no_punct|after_sentence_13_plus|tok_100_plus,15,2.0771481513977053,5.765258375803629,9.954156239827475,-0.31474931463688344
step512,1,surface_combo,word_start|no_punct|after_sentence_1_3|tok_006_019,60,2.0802695870399477,5.916373880704244,9.03528839747111,-0.34311374791794325
step512,1,surface_combo,word_start|no_punct|after_sentence_1_3|tok_020_049,175,2.079916640009199,5.854783973693848,8.991311874389648,-0.16000346101414165
step512,1,surface_combo,word_start|no_punct|after_sentence_1_3|tok_050_099,159,2.0884227737690666,5.719740111123091,8.914617784368167,-0.0623848075279064
step512,1,surface_combo,word_start|no_punct|after_sentence_4_12|tok_006_019,26,2.07881498336792,5.939398407936096,9.444737067589394,-0.3681451904003205
step512,1,surface_combo,word_start|no_punct|after_sentence_4_12|tok_020_049,288,2.0958965478671923,5.918323862055938,9.25766291220983,-0.08887344634374053
step512,1,surface_combo,word_start|no_punct|after_sentence_4_12|tok_050_099,359,2.09827560236195,5.833672218875632,9.214478061059724,-0.13411039482429052
step512,1,surface_combo,word_start|no_punct|unknown_before_first_boundary|tok_006_019,258,2.100244175556094,5.685965563206709,9.236927708914113,0.013548907292471839
step512,1,surface_combo,word_start|no_punct|unknown_before_first_boundary|tok_020_049,148,2.1018685513251536,5.46720261992635,9.55663528313508,0.04228817248840227
step512,1,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_020_049,7,2.0846052169799805,6.763596739087786,8.578730310712542,0.71767155529179
step512,1,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_050_099,14,2.089590838977269,5.580350228718349,9.30085631779262,-0.09237210771054329
step512,1,surface_combo,word_start|other_punct_only|after_sentence_13_plus|tok_100_plus,1,1.981749176979065,7.364965438842773,8.416247367858887,nan
step512,1,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_006_019,15,2.0715613762537637,8.052685324350993,8.515152009328206,-0.11813843734858887
step512,1,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_020_049,47,2.0738297802336674,7.306131738297482,8.566367382698871,-0.3531451349541764
step512,1,surface_combo,word_start|other_punct_only|after_sentence_1_3|tok_050_099,43,2.0750443935394287,6.882076551747876,8.470096832097964,-0.4582857990163118
step512,1,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_006_019,2,2.039794683456421,6.216754198074341,8.852661609649658,-1.0
step512,1,surface_combo,word_start|other_punct_only|after_sentence_4_12|tok_020_049,33,2.0808398868098403,6.217059857917555,9.14696353854555,-0.11571038784132393
